Signature;diameter;average distance;number_of_connections
"C(311; 1, 27)";12;8,30968;5031597
"C(313; 1, 25)";12;8,33333;4886666
"C(314; 1, 144)";13;8,34824;4385212
"C(315; 1, 96)";13;8,36306;4463548
"C(316; 1, 72)";13;8,37778;4219176
"C(317; 1, 114)";13;8,39241;4900688
"C(317; 1, 121)";13;8,39241;4900688
"C(317; 1, 131)";13;8,39241;4900688
"C(318; 1, 48)";13;8,40694;4095273
"C(319; 1, 50)";13;8,42138;4945201
"C(319; 1, 134)";13;8,42138;4945201
"C(320; 1, 124)";13;8,43574;4366230
"C(321; 1, 75)";13;8,45;5339196
"C(322; 1, 100)";13;8,46417;5762950
"C(323; 1, 28)";13;8,47826;5282359
"C(323; 1, 150)";13;8,47826;5282359
"C(324; 1, 24)";13;8,49226;4355231
"C(325; 1, 24)";13;8,50617;5146932
"C(325; 1, 26)";13;8,50617;5146932
"C(325; 1, 49)";13;8,50617;5146932
"C(325; 1, 51)";13;8,50617;5146932
"C(325; 1, 74)";13;8,50617;5146932
"C(325; 1, 76)";13;8,50617;5146932
"C(325; 1, 99)";13;8,50617;5146932
"C(325; 1, 101)";13;8,50617;5146932
"C(325; 1, 124)";13;8,50617;5146932
"C(325; 1, 126)";13;8,50617;5146932
"C(325; 1, 149)";13;8,50617;5146932
"C(325; 1, 151)";13;8,50617;5146932
"C(326; 1, 26)";13;8,52;4805373
"C(327; 1, 150)";13;8,53374;5073244
"C(328; 1, 100)";13;8,5474;4879914
"C(328; 1, 118)";13;8,5474;4879914
"C(329; 1, 75)";13;8,56098;5788128
"C(329; 1, 136)";13;8,56098;5788128
"C(330; 1, 126)";13;8,57447;4684825
"C(331; 1, 50)";13;8,58788;6040532
"C(331; 1, 139)";13;8,58788;6040532
"C(332; 1, 52)";13;8,60121;5206205
"C(332; 1, 72)";13;8,60121;5206205
"C(333; 1, 129)";13;8,61446;5704511
"C(334; 1, 78)";13;8,62763;5450922
"C(334; 1, 138)";13;8,62763;5450922
"C(335; 1, 29)";13;8,64072;5791084
"C(335; 1, 104)";13;8,64072;5791084
"C(336; 1, 156)";13;8,65373;4823144
"C(337; 1, 25)";13;8,66667;6190294
"C(337; 1, 27)";13;8,66667;6190294
"C(338; 1, 25)";13;8,67953;5760956
"C(338; 1, 27)";13;8,67953;5760956
"C(338; 1, 51)";13;8,67953;5760956
"C(338; 1, 53)";13;8,67953;5760956
"C(338; 1, 77)";13;8,67953;5760956
"C(338; 1, 79)";13;8,67953;5760956
"C(338; 1, 103)";13;8,67953;5760956
"C(338; 1, 105)";13;8,67953;5760956
"C(338; 1, 129)";13;8,67953;5760956
"C(338; 1, 131)";13;8,67953;5760956
"C(338; 1, 142)";13;8,67953;5760956
"C(338; 1, 155)";13;8,67953;5760956
"C(338; 1, 157)";13;8,67953;5760956
"C(339; 1, 25)";13;8,69231;6034696
"C(339; 1, 27)";13;8,69231;6034696
"C(339; 1, 122)";13;8,69231;6034696
"C(340; 1, 72)";13;8,70501;5592274
"C(340; 1, 158)";13;8,70501;5592274
"C(341; 1, 74)";13;8,71765;6548490
"C(341; 1, 106)";13;8,71765;6548490
"C(342; 1, 80)";13;8,73021;5544017
"C(343; 1, 133)";13;8,74269;6463790
"C(344; 1, 54)";13;8,7551;5765574
"C(344; 1, 122)";13;8,7551;5765574
"C(345; 1, 52)";13;8,76744;6040348
"C(345; 1, 73)";13;8,76744;6040348
"C(346; 1, 30)";13;8,77971;6048903
"C(346; 1, 132)";13;8,77971;6048903
"C(347; 1, 79)";13;8,79191;8122496
"C(347; 1, 123)";13;8,79191;8122496
"C(348; 1, 24)";13;8,80403;7397534
"C(348; 1, 106)";13;8,80403;7397534
"C(349; 1, 24)";13;8,81609;8461601
"C(349; 1, 160)";13;8,81609;8461601
"C(350; 1, 28)";13;8,82808;8133498
"C(351; 1, 26)";13;8,84;8181177
