Signature;diameter;average distance;number_of_connections
"C(108; 1, 32)";7;4,90654;65506
"C(109; 1, 30)";7;4,92593;80071
"C(109; 1, 40)";7;4,92593;80071
"C(110; 1, 46)";7;4,94495;77832
"C(111; 1, 13)";7;4,96364;80845
"C(111; 1, 17)";7;4,96364;80845
"C(113; 1, 15)";7;5;91615
"C(114; 1, 50)";8;5,02655;92887
"C(115; 1, 34)";8;5,05263;96331
"C(115; 1, 44)";8;5,05263;96331
"C(116; 1, 32)";8;5,07826;90794
"C(117; 1, 43)";8;5,10345;104192
"C(117; 1, 49)";8;5,10345;104192
"C(118; 1, 18)";8;5,12821;98538
"C(119; 1, 14)";8;5,15254;123506
"C(120; 1, 14)";8;5,17647;102024
"C(120; 1, 16)";8;5,17647;102024
"C(120; 1, 44)";8;5,17647;102024
"C(120; 1, 46)";8;5,17647;102024
"C(121; 1, 16)";8;5,2;117896
"C(121; 1, 53)";8;5,2;117896
"C(122; 1, 36)";8;5,22314;112551
"C(123; 1, 34)";8;5,2459;120163
"C(123; 1, 47)";8;5,2459;120163
"C(123; 1, 54)";8;5,2459;120163
"C(124; 1, 52)";8;5,26829;119989
"C(125; 1, 19)";8;5,29032;130605
"C(125; 1, 27)";8;5,29032;130605
"C(125; 1, 37)";8;5,29032;130605
"C(125; 1, 46)";8;5,29032;130605
"C(127; 1, 15)";8;5,33333;142153
"C(127; 1, 17)";8;5,33333;142153
"C(127; 1, 29)";8;5,33333;142153
"C(127; 1, 35)";8;5,33333;142153
"C(128; 1, 15)";8;5,35433;131634
"C(128; 1, 17)";8;5,35433;131634
"C(128; 1, 47)";8;5,35433;131634
"C(128; 1, 49)";8;5,35433;131634
"C(128; 1, 56)";8;5,35433;131634
"C(129; 1, 15)";8;5,375;145528
"C(129; 1, 17)";8;5,375;145528
"C(129; 1, 38)";8;5,375;145528
"C(129; 1, 54)";8;5,375;145528
"C(130; 1, 28)";8;5,39535;140455
"C(131; 1, 20)";8;5,41538;163324
"C(131; 1, 30)";8;5,41538;163324
"C(131; 1, 48)";8;5,41538;163324
"C(131; 1, 59)";8;5,41538;163324
"C(133; 1, 14)";8;5,45455;176514
"C(133; 1, 51)";8;5,45455;176514
"C(133; 1, 60)";8;5,45455;176514
"C(134; 1, 14)";8;5,47368;160142
"C(135; 1, 18)";8;5,49254;172753
"C(136; 1, 16)";8;5,51111;175001
"C(136; 1, 18)";8;5,51111;175001
"C(136; 1, 50)";8;5,51111;175001
"C(136; 1, 52)";8;5,51111;175001
"C(137; 1, 16)";8;5,52941;190925
"C(137; 1, 60)";8;5,52941;190925
"C(139; 1, 30)";8;5,56522;204141
"C(139; 1, 51)";8;5,56522;204141
"C(140; 1, 32)";8;5,58273;181234
"C(141; 1, 54)";8;5,6;228014
"C(142; 1, 64)";8;5,61702;199122
"C(143; 1, 15)";8;5,6338;249504
"C(143; 1, 19)";8;5,6338;249504
"C(145; 1, 17)";8;5,66667;246291
"C(146; 1, 64)";9;5,68966;322850
"C(147; 1, 54)";9;5,71233;305683
"C(148; 1, 32)";9;5,73469;242587
"C(149; 1, 34)";9;5,75676;326338
"C(149; 1, 44)";9;5,75676;326338
"C(149; 1, 57)";9;5,75676;326338
"C(151; 1, 20)";9;5,8;355857
"C(151; 1, 68)";9;5,8;355857
"C(152; 1, 16)";9;5,82119;279978
"C(153; 1, 16)";9;5,84211;411809
"C(153; 1, 18)";9;5,84211;411809
"C(153; 1, 33)";9;5,84211;411809
"C(153; 1, 35)";9;5,84211;411809
"C(153; 1, 67)";9;5,84211;411809
"C(153; 1, 69)";9;5,84211;411809
"C(154; 1, 18)";9;5,86275;360394
"C(155; 1, 57)";9;5,88312;431063
"C(155; 1, 68)";9;5,88312;431063
"C(156; 1, 46)";9;5,90323;453386
"C(157; 1, 34)";9;5,92308;431970
"C(157; 1, 60)";9;5,92308;431970
"C(158; 1, 36)";9;5,94268;390734
"C(158; 1, 58)";9;5,94268;390734
"C(159; 1, 21)";9;5,96203;413980
"C(160; 1, 72)";9;5,98113;465965
"C(161; 1, 17)";9;6;511983
"C(161; 1, 19)";9;6;511983
"C(162; 1, 17)";9;6,01863;380067
"C(162; 1, 19)";9;6,01863;380067
"C(162; 1, 35)";9;6,01863;380067
"C(162; 1, 37)";9;6,01863;380067
"C(162; 1, 62)";9;6,01863;380067
"C(162; 1, 71)";9;6,01863;380067
"C(162; 1, 73)";9;6,01863;380067
"C(163; 1, 17)";9;6,03704;468821
"C(163; 1, 19)";9;6,03704;468821
"C(163; 1, 48)";9;6,03704;468821
"C(163; 1, 60)";9;6,03704;468821
"C(164; 1, 50)";9;6,05521;422498
"C(164; 1, 74)";9;6,05521;422498
"C(166; 1, 22)";9;6,09091;513961
"C(166; 1, 38)";9;6,09091;513961
"C(167; 1, 36)";9;6,10843;487779
"C(167; 1, 51)";9;6,10843;487779
"C(168; 1, 16)";9;6,12575;432319
"C(169; 1, 16)";9;6,14286;526939
"C(169; 1, 74)";9;6,14286;526939
"C(170; 1, 20)";9;6,15976;468645
"C(171; 1, 18)";9;6,17647;530759
"C(171; 1, 20)";9;6,17647;530759
"C(171; 1, 37)";9;6,17647;530759
"C(171; 1, 39)";9;6,17647;530759
"C(171; 1, 75)";9;6,17647;530759
"C(171; 1, 77)";9;6,17647;530759
"C(172; 1, 18)";9;6,19298;504115
"C(173; 1, 51)";9;6,2093;574506
"C(173; 1, 78)";9;6,2093;574506
"C(175; 1, 40)";9;6,24138;582740
"C(176; 1, 38)";9;6,25714;526425
"C(177; 1, 54)";9;6,27273;582463
"C(178; 1, 78)";9;6,28814;596077
"C(179; 1, 17)";9;6,30337;657346
"C(179; 1, 21)";9;6,30337;657346
"C(181; 1, 19)";9;6,33333;720906
"C(182; 1, 82)";10;6,35359;696903
"C(183; 1, 54)";10;6,37363;671697
"C(184; 1, 42)";10;6,39344;635388
"C(185; 1, 40)";10;6,41304;727708
"C(185; 1, 68)";10;6,41304;727708
"C(187; 1, 57)";10;6,45161;783213
"C(187; 1, 82)";10;6,45161;783213
"C(188; 1, 22)";10;6,47059;718334
"C(189; 1, 18)";10;6,48936;768472
"C(190; 1, 18)";10;6,50794;731389
"C(190; 1, 20)";10;6,50794;731389
"C(190; 1, 56)";10;6,50794;731389
"C(190; 1, 58)";10;6,50794;731389
"C(191; 1, 20)";10;6,52632;865250
"C(191; 1, 86)";10;6,52632;865250
"C(193; 1, 44)";10;6,5625;903978
"C(193; 1, 57)";10;6,5625;903978
"C(193; 1, 71)";10;6,5625;903978
"C(193; 1, 87)";10;6,5625;903978
"C(194; 1, 42)";10;6,58031;847641
"C(195; 1, 54)";10;6,59794;837673
"C(196; 1, 86)";10;6,61538;835738
"C(197; 1, 23)";10;6,63265;954494
"C(197; 1, 35)";10;6,63265;954494
"C(197; 1, 45)";10;6,63265;954494
"C(197; 1, 60)";10;6,63265;954494
"C(199; 1, 19)";10;6,66667;969352
"C(199; 1, 21)";10;6,66667;969352
"C(199; 1, 37)";10;6,66667;969352
"C(199; 1, 43)";10;6,66667;969352
"C(200; 1, 19)";10;6,68342;865000
"C(200; 1, 21)";10;6,68342;865000
"C(200; 1, 59)";10;6,68342;865000
"C(200; 1, 61)";10;6,68342;865000
"C(200; 1, 90)";10;6,68342;865000
"C(201; 1, 19)";10;6,7;973849
"C(201; 1, 21)";10;6,7;973849
"C(201; 1, 54)";10;6,7;973849
"C(201; 1, 74)";10;6,7;973849
"C(202; 1, 56)";10;6,71642;914408
"C(203; 1, 36)";10;6,73267;1049625
"C(203; 1, 62)";10;6,73267;1049625
"C(203; 1, 73)";10;6,73267;1049625
"C(203; 1, 89)";10;6,73267;1049625
"C(204; 1, 38)";10;6,74877;844080
"C(205; 1, 24)";10;6,76471;1042887
"C(205; 1, 55)";10;6,76471;1042887
"C(205; 1, 94)";10;6,76471;1042887
"C(206; 1, 74)";10;6,78049;986700
"C(207; 1, 18)";10;6,79612;1033055
"C(207; 1, 61)";10;6,79612;1033055
"C(207; 1, 95)";10;6,79612;1033055
"C(208; 1, 18)";10;6,81159;1018482
"C(209; 1, 22)";10;6,82692;1145830
"C(210; 1, 20)";10;6,84211;1070043
"C(210; 1, 22)";10;6,84211;1070043
"C(210; 1, 62)";10;6,84211;1070043
"C(210; 1, 64)";10;6,84211;1070043
"C(211; 1, 20)";10;6,85714;1218239
"C(211; 1, 95)";10;6,85714;1218239
"C(212; 1, 78)";10;6,87204;1114712
"C(213; 1, 59)";10;6,88679;1199563
"C(213; 1, 65)";10;6,88679;1199563
"C(214; 1, 38)";10;6,90141;1200953
"C(215; 1, 40)";10;6,91589;1315286
"C(216; 1, 58)";10;6,93023;1045313
"C(217; 1, 64)";10;6,94444;1391808
"C(217; 1, 78)";10;6,94444;1391808
"C(218; 1, 100)";10;6,95853;1235754
"C(219; 1, 19)";10;6,97248;1276787
"C(219; 1, 23)";10;6,97248;1276787
"C(221; 1, 21)";10;7;1437209
"C(222; 1, 100)";11;7,0181;1254879
"C(223; 1, 68)";11;7,03604;1548374
"C(223; 1, 82)";11;7,03604;1548374
"C(224; 1, 62)";11;7,05381;1335649
"C(225; 1, 40)";11;7,07143;1550575
"C(226; 1, 42)";11;7,08889;1370886
"C(227; 1, 61)";11;7,10619;1323861
"C(227; 1, 67)";11;7,10619;1323861
"C(228; 1, 82)";11;7,12335;1172707
"C(229; 1, 24)";11;7,14035;1336183
"C(229; 1, 105)";11;7,14035;1336183
"C(230; 1, 20)";11;7,15721;1215950
"C(231; 1, 20)";11;7,17391;1258188
"C(231; 1, 22)";11;7,17391;1258188
"C(231; 1, 41)";11;7,17391;1258188
"C(231; 1, 43)";11;7,17391;1258188
"C(231; 1, 62)";11;7,17391;1258188
"C(231; 1, 64)";11;7,17391;1258188
"C(231; 1, 83)";11;7,17391;1258188
"C(231; 1, 85)";11;7,17391;1258188
"C(231; 1, 104)";11;7,17391;1258188
"C(231; 1, 106)";11;7,17391;1258188
"C(232; 1, 22)";11;7,19048;1263907
"C(233; 1, 71)";11;7,2069;1459284
"C(233; 1, 105)";11;7,2069;1459284
"C(234; 1, 86)";11;7,22318;1233280
"C(235; 1, 65)";11;7,23932;1476052
"C(236; 1, 42)";11;7,25532;1426102
"C(236; 1, 72)";11;7,25532;1426102
"C(237; 1, 44)";11;7,27119;1437078
"C(237; 1, 70)";11;7,27119;1437078
"C(238; 1, 64)";11;7,28692;1384711
"C(238; 1, 100)";11;7,28692;1384711
"C(239; 1, 25)";11;7,30252;1616337
"C(239; 1, 86)";11;7,30252;1616337
"C(240; 1, 110)";11;7,31799;1307630
"C(241; 1, 21)";11;7,33333;1651913
"C(241; 1, 23)";11;7,33333;1651913
"C(242; 1, 21)";11;7,34855;1637233
"C(242; 1, 23)";11;7,34855;1637233
"C(242; 1, 43)";11;7,34855;1637233
